category,room_count,bathroom_count,size,price,city,region,price_per_m2,log_price,budget_tier,size_tier,cluster
Appartements,3,2,100.0,900.0,Ariana,Ennasr,9.0,2.9547,medium,medium,1
Appartements,2,1,100.0,750.0,Ariana,Ghazela,7.5,2.8756,medium,medium,1
Maisons et Villas,3,1,180.0,1200.0,Ariana,Ariana Ville,6.67,3.0795,medium,large,2
Appartements,3,2,130.0,600.0,Ariana,Mnihla,4.62,2.7789,low,large,1
"Magasins, Commerces et Locaux industriels",1,1,70.0,1300.0,Ariana,Mnihla,18.57,3.1143,medium,medium,2
Appartements,1,1,45.0,670.0,Ariana,La Soukra,14.89,2.8267,low,small,1
Bureaux et Plateaux,2,1,90.0,750.0,Ariana,Borj Louzir,8.33,2.8756,medium,medium,1
Bureaux et Plateaux,2,1,200.0,350.0,Ariana,Ennasr,1.75,2.5453,low,large,1
"Magasins, Commerces et Locaux industriels",1,1,150.0,1050.0,Ariana,La Soukra,7.0,3.0216,medium,large,2
Appartements,2,1,60.0,600.0,Ariana,Ariana Ville,10.0,2.7789,low,medium,1
Maisons et Villas,4,3,200.0,3000.0,Ariana,La Soukra,15.0,3.4773,high,large,2
Appartements,2,1,100.0,850.0,Ariana,La Soukra,8.5,2.9299,medium,medium,1
