category,room_count,bathroom_count,size,price,city,region,price_per_m2,log_price,budget_tier,size_tier
0,0.1,0.125,0.0303030303030303,0.08470290771175726,0,5,0.05855123232828725,0.4733938331442715,1,1
3,0.0,0.125,0.03535353535353536,0.006321112515802781,0,5,0.008882772425872638,0.09719500876559761,0,1
3,0.0,0.125,0.025252525252525252,0.008849557522123892,0,5,0.013386713374202424,0.1266886665979169,0,1
0,0.1,0.125,0.0404040404040404,0.15802781289506954,0,11,0.08294757913174026,0.6001340620810562,1,1
4,0.1,0.125,0.0,0.1529709228824273,0,11,0.40573001376204176,0.5933793956893887,1,0
4,0.0,0.125,0.0101010101010101,0.10240202275600505,0,4,0.13987238833979732,0.511189027534289,1,0
5,0.4,0.375,0.10101010101010101,0.49431099873577744,0,21,0.11284874264981858,0.8447973600082501,3,3
0,0.20000000000000004,0.125,0.08080808080808081,0.06447534766118837,0,11,0.02001751532591017,0.4206455604826236,0,2
0,0.20000000000000004,0.125,0.11616161616161617,0.1150442477876106,0,4,0.024146127861879144,0.5347014540579562,1,3
0,0.1,0.125,0.0303030303030303,0.08975979772439949,0,54,0.061678969097960716,0.48484067237289885,1,1
5,0.20000000000000004,0.125,0.055555555555555566,0.30467762326169406,0,41,0.11947954460152632,0.7396617510570282,2,2
4,0.0,0.125,0.02272727272727273,0.9999999999999999,0,66,0.7690479169273113,1.0000000000000002,3,1
0,0.0,0.125,0.03535353535353536,0.03286978508217446,0,54,0.02339547103715751,0.30045374858203555,0,1
4,0.1,0.25,0.20707070707070707,0.8735777496839443,0,84,0.10096334292505943,0.9700938434567394,3,3
0,0.1,0.125,0.02777777777777778,0.10872313527180782,0,117,0.07831852871262354,0.5232546148293287,1,1
5,0.4,0.25,0.24242424242424243,0.24146649810366622,0,5,0.024146127861879144,0.6896978446942355,2,3
0,0.1,0.125,0.0303030303030303,0.011378002528445006,0,41,0.01313649443262855,0.1527276477261008,0,1
5,0.4,0.25,0.21717171717171715,0.6207332490518331,0,5,0.06868509946202926,0.8947612663710427,3,3
4,0.30000000000000004,0.125,0.05050505050505051,0.018963337547408345,0,5,0.011635180783185286,0.2165618232443025,0,2
0,0.1,0.125,0.0404040404040404,0.24146649810366622,0,41,0.12423370449143,0.6896978446942355,2,1
0,0.1,0.125,0.0303030303030303,0.09481668773704172,0,54,0.06480670586763417,0.49577188821284945,1,1
